article_id,x,y,z
292390,-1.5082742,0.89167017,8.144747
348081,-2.3043694,-1.4227843,-1.3696814
348089,-1.7261847,-0.27112436,6.6819673
348091,3.0764034,-2.463835,1.7427522
348109,14.653934,5.7730656,-1.4778982
348113,1.2982653,-1.0602909,3.2222857
348117,0.7467119,1.0858716,6.601431
348121,4.4309874,2.0882175,-0.24639335
348127,0.397443,-0.90355486,1.7506392
348128,-1.8749788,2.7530532,8.31241
348132,-1.9324796,0.57721364,4.6042895
348135,3.9212728,-2.3203833,-3.0430682
59704,-1.1001639,-3.0564823,-0.95138246
64329,1.4414718,-8.294243,0.63558114
70033,-0.35435647,-6.242661,1.5753729
70594,5.2015676,-3.5677679,-1.801588
70646,1.0667267,-6.6913366,-2.927716
123909,-3.501637,4.6809826,-4.8771434
156560,3.8853176,-9.73725,-1.4844962
157078,-0.7729417,-7.7043233,-0.40605274
162300,3.9582896,-7.2333417,-1.2438974
166283,4.2074556,-6.9592333,1.8859956
168623,-2.4416118,-1.9558675,1.3054057
202355,3.4305377,-5.359221,-3.798758
202436,1.4005669,-4.074434,-2.0122678
202476,6.634503,-2.384007,-4.9083557
202478,6.1694007,-7.240177,-1.4802436
203288,1.789338,-6.193027,-6.5995283
206168,-0.038191825,-5.849238,-4.2716713
206934,-0.03870903,-3.037502,-2.689397
209236,-0.55627316,-7.237918,-3.3719385
234006,-4.613157,0.9363995,-3.76391
235230,-1.1072652,-6.492914,-3.9860919
235616,-2.4473736,-2.8729126,-6.6107507
236951,1.1252601,-3.7217157,-0.3465299
250043,-1.3989987,-0.6813073,-4.256065
283505,1.2876911,-4.348105,1.2998023
285343,1.555357,-7.962722,-0.556597
288431,-1.6179664,3.097297,2.57008
289090,-0.86193514,1.5014154,3.7507818
313431,-4.741539,3.313393,7.4079566
336476,-0.18428281,-2.9466674,1.6768773
39894,0.555245,-2.6744351,1.9507641
64409,-0.30731505,-6.4531612,2.3134685
87223,7.65633,-5.473529,1.6376568
123757,-3.2084968,0.083980106,-4.311303
156624,1.9686545,-5.349686,1.1259345
166177,3.7634418,-8.083688,-0.6231745
199474,-1.6135713,-0.9609148,0.36474654
214753,4.2082963,-4.9152946,5.4476137
234698,-0.12239693,-5.3905272,0.045898087
284470,-1.9252847,-1.8701563,1.2485125
284547,-2.2931523,-5.782144,-0.56158656
284847,-2.7730086,-2.2617118,0.65377444
336221,0.8840234,-1.7003475,1.3929052
343256,-2.678714,5.0032735,6.1278777
352979,-0.34241152,1.3658262,4.4529204
10034,-3.460722,6.528367,-4.2899714
10370,-1.6463062,7.245721,-3.4948826
20691,-7.0378466,2.0648484,-3.602252
31520,-3.3739421,9.279557,-2.370681
48403,-6.34879,-0.038229354,-5.38668
